Time slots ,Solar,Solar2
901,1036,1044.315
902,1024,987.933
903,998,852.956
904,931,647.839
905,787,391.361
906,342,123.464
907,0,38
908,0,38
909,0,38
910,0,38
911,0,38
912,0,38
913,0,38
914,0,38
915,0,38
916,0,38
917,0,38
918,0,38
919,0,38
920,547,199.462
921,831,471.975
922,939,711.412
923,991,892.56
924,1004,998.569
925,1009,1026.308
926,995,970.497
927,961,835.947
928,891,633.415
929,740,381.042
930,292,116.036
931,0,38
932,0,38
933,0,38
934,0,38
935,0,38
936,0,38
937,0,38
938,0,38
939,0,38
940,0,38
941,0,38
942,0,38
943,0,38
944,520,196.907
945,812,472.806
946,926,710.786
947,981,893.956
948,1011,1005.911
949,1018,1035.67
950,1008,981.646
951,975,847.448
952,909,644.683
953,764,391.617
954,328,124.095
955,0,38
956,0,38
957,0,38
958,0,38
959,0,38
960,0,38
961,0,38
962,0,38
963,0,38
964,0,38
965,0,38
966,0,38
967,0,38
968,562,206.412
969,843,483.789
970,952,727.131
971,1004,910.821
972,1017,1019.425
973,1022,1047.59
974,1010,991.62
975,985,857.165
976,918,653.025
977,774,396.816
978,345,127.333
979,0,38
980,0,38
981,0,38
982,0,38
983,0,38
984,0,38
985,0,38
986,0,38
987,0,38
988,0,38
989,0,38
990,0,38
991,0,38
992,559,206.514
993,821,476.371
994,922,713.158
995,38,329.438
996,508,784.502
997,376,732.518
998,769,892.188
999,377,591.32
1000,264,398.272
1001,322,268.93
1002,0,48.411
1003,0,38
1004,0,38
1005,0,38
1006,0,38
1007,0,38
1008,0,38
1009,0,38
1010,0,38
1011,0,38
1012,0,38
1013,0,38
1014,0,38
1015,0,38
1016,460,193.797
1017,759,467.158
1018,885,710.863
1019,948,892.962
1020,970,1001.413
1021,979,1031.081
1022,969,976.191
1023,938,842.3
1024,869,642.284
1025,721,386.352
1026,303,122.648
1027,0,38
1028,0,38
1029,0,38
1030,0,38
1031,0,38
1032,0,38
1033,0,38
1034,0,38
1035,0,38
1036,0,38
1037,0,38
1038,0,38
1039,0,38
1040,511,201.787
1041,793,477.731
1042,909,717.845
1043,967,902.271
1044,991,1011.988
1045,1001,1043.048
1046,994,989.675
1047,967,857.082
1048,906,654.777
1049,770,402.418
1050,371,135.55
1051,0,38
1052,0,38
1053,0,38
1054,0,38
1055,0,38
1056,0,38
1057,0,38
1058,0,38
1059,0,38
1060,0,38
1061,0,38
1062,0,38
1063,0,38
1064,519,205.523
1065,797,479.994
1066,910,719.326
1067,964,900.999
1068,989,1010.335
1069,764,952.485
1070,686,866.647
1071,520,670.282
1072,842,621.611
1073,57,166.585
1074,58,73.976
1075,0,38
1076,0,38
1077,0,38
1078,0,38
1079,0,38
1080,0,38
1081,0,38
1082,0,38
1083,0,38
1084,0,38
1085,0,38
1086,0,38
1087,0,38
1088,429,191.483
1089,716,455.799
1090,844,695.294
1091,912,875.313
1092,944,985.396
1093,955,1016.357
1094,943,961.554
1095,475,656.332
1096,274,414.13
1097,628,367.161
1098,206,109.59
1099,0,38
1100,0,38
1101,0,38
1102,0,38
1103,0,38
1104,0,38
1105,0,38
1106,0,38
1107,0,38
1108,0,38
1109,0,38
1110,0,38
1111,0,38
1112,58,105.42
1113,136,250.389
1114,956,746.828
1115,1007,932.089
1116,1029,1042.704
1117,1032,1069.388
1118,1017,1010.808
1119,985,872.372
1120,914,663.493
1121,766,405.449
1122,357,134.568
1123,0,38
1124,0,38
1125,0,38
1126,0,38
1127,0,38
1128,0,38
1129,0,38
1130,0,38
1131,0,38
1132,0,38
1133,0,38
1134,0,38
1135,0,38
1136,602,228.608
1137,860,508.882
1138,966,755.639
1139,1020,943.854
1140,1036,1054.948
1141,1044,1085.165
1142,1036,1030.838
1143,1009,893.946
1144,950,685.746
1145,822,425.04
1146,445,150.811
1147,0,38
1148,0,38
1149,0,38
1150,0,38
1151,0,38
1152,0,38
1153,0,38
1154,0,38
1155,0,38
1156,0,38
1157,0,38
1158,0,38
1159,0,38
1160,644,236.981
1161,882,514.132
1162,977,758.228
1163,1023,944.129
1164,1045,1055.146
1165,1049,1083.005
1166,1039,1027.699
1167,1008,890.6
1168,946,683.822
1169,814,422.969
1170,443,151.109
1171,0,38
1172,0,38
1173,0,38
1174,0,38
1175,0,38
1176,0,38
1177,0,38
1178,0,38
1179,0,38
1180,0,38
1181,0,38
1182,0,38
1183,0,38
1184,49,107.288
1185,368,356.391
1186,943,745.938
1187,993,930.387
1188,1017,1039.531
1189,1024,1068.307
1190,1015,1013.622
1191,984,877.608
1192,922,671.983
1193,793,415.596
1194,429,148.105
1195,0,38
1196,0,38
1197,0,38
1198,0,38
1199,0,38
1200,0,38
1201,0,38
1202,0,38
1203,0,38
1204,0,38
1205,0,38
1206,0,38
1207,0,38
1208,632,238.524
1209,3,155.858
1210,276,476.008
1211,34,337.634
1212,612,879.229
1213,495,835.167
1214,38,378.632
1215,31,311.509
1216,6,191.08
1217,0,90.211
1218,0,60.764
1219,0,38
1220,0,38
1221,0,38
1222,0,38
1223,0,38
1224,0,38
1225,0,38
1226,0,38
1227,0,38
1228,0,38
1229,0,38
1230,0,38
1231,0,38
1232,595,234.554
1233,841,512.728
1234,943,752.711
1235,398,673.341
1236,569,861.189
1237,837,1004.842
1238,694,896.53
1239,400,633.088
1240,275,429.124
1241,200,245.763
1242,34,74.249
1243,0,38
1244,0,38
1245,0,38
1246,0,38
1247,0,38
1248,0,38
1249,0,38
1250,0,38
1251,0,38
1252,0,38
1253,0,38
1254,0,38
1255,0,38
1256,0,60.74
1257,0,43.68
1258,0,59.817
1259,20,290.727
1260,159,579.649
1261,0,155.81
1262,29,354.872
1263,14,252.624
1264,837,648.942
1265,690,394.637
1266,163,105.855
1267,0,38
1268,0,38
1269,0,38
1270,0,38
1271,0,38
1272,0,38
1273,0,38
1274,0,38
1275,0,38
1276,0,38
1277,0,38
1278,0,38
1279,0,38
1280,0,41.781
1281,0,50.312
1282,0,145.303
1283,1,172.489
1284,12,260.654
1285,90,507.258
1286,95,483.909
1287,311,591.156
1288,347,463.847
1289,325,293.027
1290,120,96.786
1291,0,38
1292,0,38
1293,0,38
1294,0,38
1295,0,38
1296,0,38
1297,0,38
1298,0,38
1299,0,38
1300,0,38
1301,0,38
1302,0,38
1303,0,38
1304,505,227.422
1305,759,498.197
1306,877,743.173
1307,365,665.823
1308,467,807.123
1309,971,1061.376
1310,955,1002.89
1311,940,870.732
1312,136,353.217
1313,347,301.196
1314,0,58.856
1315,0,38
1316,0,38
1317,0,38
1318,0,38
1319,0,38
1320,0,38
1321,0,38
1322,0,38
1323,0,38
1324,0,38
1325,0,38
1326,0,38
1327,0,38
1328,614,248.639
1329,862,534.062
1330,967,779.397
1331,1015,963.273
1332,1034,1071.028
1333,1037,1096.945
1334,1023,1035.93
1335,990,895.577
1336,929,688.34
1337,804,430.817
1338,466,156.426
1339,0,38
1340,0,38
1341,0,38
1342,0,38
1343,0,38
1344,0,38
1345,0,38
1346,0,38
1347,0,38
1348,0,38
1349,0,38
1350,0,38
1351,0,38
1352,0,62.637
1353,812,520.321
1354,914,760.124
1355,966,943.242
1356,970,1045.338
1357,260,688.626
1358,329,710.289
1359,233,543.498
1360,0,158.443
1361,279,279.367
1362,343,141.574
1363,0,38
1364,0,38
1365,0,38
1366,0,38
1367,0,38
1368,0,38
1369,0,38
1370,0,38
1371,0,38
1372,0,38
1373,0,38
1374,0,38
1375,0,38
1376,0,42.728
1377,5,165.221
